Quarter,Topic,Difficulty,Question,Choice_1,Choice_2,Correct,Explanation
3,Classification And Properties Of Waves,Easy,True or False: A wave is a disturbance that transfers matter from one place to another.,True,False,F,Waves transfer energy through a medium without permanently transporting the particles of the matter itself.
3,Classification And Properties Of Waves,Medium,True or False: Mechanical waves like sound require a medium to travel while electromagnetic waves do not.,True,False,T,Mechanical waves need a physical substance to move through whereas electromagnetic waves can travel through a vacuum.
3,Classification And Properties Of Waves,Hard,True or False: In a longitudinal wave the particles move perpendicular to the direction of wave travel.,True,False,F,Particles in a longitudinal wave move parallel to the direction of travel; perpendicular motion occurs in transverse waves.
3,Classification And Properties Of Waves,Medium,True or False: The distance between two consecutive crests or two consecutive troughs is called the wavelength.,True,False,T,Wavelength is the spatial period of a wave and is measured from one identical point to the next.
3,Classification And Properties Of Waves,Easy,True or False: Frequency is measured in Hertz (Hz) and represents the number of waves that pass a point per second.,True,False,T,One Hertz is equal to one cycle per second.
3,Behavior Of Waves,Easy,True or False: The Law of Reflection states that the angle of incidence is equal to the angle of reflection.,True,False,T,This is the fundamental principle of reflection measured from the normal line.
3,Behavior Of Waves,Medium,True or False: Refraction occurs when a wave changes speed as it passes from one medium to another.,True,False,T,This change in speed causes the wave to bend as it crosses the boundary between different materials.
3,Behavior Of Waves,Hard,True or False: Diffraction is the bending of waves around an obstacle or through an opening.,True,False,T,Waves tend to spread out when they encounter a slit or an edge especially when the opening is similar in size to the wavelength.
3,Behavior Of Waves,Medium,True or False: Constructive interference occurs when the crest of one wave meets the trough of another resulting in a smaller amplitude.,True,False,F,Constructive interference occurs when crests meet crests (or troughs meet troughs) to create a larger amplitude.
3,Behavior Of Waves,Hard,True or False: Destructive interference can result in a total cancellation of a wave's amplitude at certain points.,True,False,T,When two waves are perfectly out of phase they can temporarily cancel each other out.
3,Sound Waves,Easy,True or False: Sound waves are transverse waves.,True,False,F,Sound is a longitudinal wave consisting of compressions and rarefactions.
3,Sound Waves,Medium,True or False: Sound travels faster in solids than it does in liquids or gases.,True,False,T,The particles in solids are closer together allowing the mechanical energy to transfer more efficiently.
3,Sound Waves,Hard,True or False: Echolocation involves sending out sound waves and listening for the echoes to determine the location of objects.,True,False,T,Animals like bats and dolphins use the timing and direction of returned echoes to "see" their environment.
3,Sound Waves,Medium,True or False: An echo is a distinct reflected sound heard after a delay of at least 0.1 seconds.,True,False,T,The human brain requires a small delay to distinguish the reflected sound from the original sound.
3,Sound Waves,Easy,True or False: Pitch is determined by the amplitude of a sound wave.,True,False,F,Pitch is determined by the frequency of the wave; volume is determined by the amplitude.
3,Wave Nature Of Light,Easy,True or False: Isaac Newton believed that light was made of tiny particles called corpuscles.,True,False,T,Newton's corpuscular theory was a dominant early model of light.
3,Wave Nature Of Light,Medium,True or False: Thomas Young’s double-slit experiment proved that light behaves only as a particle.,True,False,F,Young's experiment showed interference patterns which proved that light has wave-like properties.
3,Wave Nature Of Light,Hard,True or False: Ibn al-Haytham was one of the first to argue that light enters the eye rather than leaving it.,True,False,T,His work "Book of Optics" correctly described the process of vision.
3,Wave Nature Of Light,Medium,True or False: James Clerk Maxwell predicted that light is an electromagnetic wave.,True,False,T,His equations unified electricity and magnetism and calculated that EM waves travel at the speed of light.
3,Wave Nature Of Light,Hard,True or False: The photoelectric effect demonstrated the particle-like nature of light.,True,False,T,Albert Einstein explained that light energy is delivered in discrete packets called photons.
3,Color,Easy,True or False: White light is composed of all the colors of the visible spectrum.,True,False,T,When all visible colors are mixed together they appear white to the human eye.
3,Color,Medium,True or False: A red object appears red because it absorbs red light and reflects all other colors.,True,False,F,A red object reflects red light and absorbs the other colors.
3,Color,Hard,True or False: The primary colors of light are Red Blue and Yellow.,True,False,F,The primary colors of light (additive) are Red Green and Blue.
3,Color,Medium,True or False: Mixing red and green light produces yellow light.,True,False,T,In the additive color model used by screens red and green combine to make yellow.
3,Color,Easy,True or False: Black is the result of an object reflecting all colors of light.,True,False,F,Black is the result of an object absorbing all visible colors and reflecting virtually none.
3,Electromagnetic Waves,Easy,True or False: Electromagnetic waves can travel through a vacuum at the speed of light.,True,False,T,Unlike mechanical waves EM waves do not require a medium to propagate.
3,Electromagnetic Waves,Medium,True or False: Radio waves have higher frequencies than Gamma rays.,True,False,F,Radio waves have the lowest frequencies and longest wavelengths while Gamma rays have the highest frequencies.
3,Electromagnetic Waves,Hard,True or False: Ultraviolet radiation has more energy per photon than Infrared radiation.,True,False,T,Energy is directly proportional to frequency; UV has a higher frequency than Infrared.
3,Electromagnetic Waves,Medium,True or False: All electromagnetic waves are transverse waves.,True,False,T,EM waves consist of oscillating electric and magnetic fields perpendicular to the direction of travel.
3,Electromagnetic Waves,Easy,True or False: Visible light makes up the largest portion of the electromagnetic spectrum.,True,False,F,Visible light is actually a very narrow band within the vast range of the EM spectrum.
