Quarter,Topic,Difficulty,Question,Choice_A,Choice_B,Choice_C,Choice_D,Correct,Explanation
1,Ideas of Motion,Easy,According to Aristotle what is required for an object to stay in motion?,Gravity,A cause or force,Inertia,Vacuum,B,Aristotle believed an object would stop immediately if the force was removed.
1,Ideas of Motion,Medium,Which "thinker" first used Logical Criticism to challenge Aristotle's view of motion?,Buridan,Newton,Philoponus,Einstein,C,Philoponus used logic to show that Aristotle's theories didn't match reality.
1,Ideas of Motion,Hard,Philoponus proposed 'Impetus' as a precursor to which modern concept?,Friction,Inertia,Heat,Magnetism,B,Impetus was the early idea that something stays inside an object to keep it moving.
1,Ideas of Motion,Easy,What was the primary method used by Aristotle to study the world?,Controlled Experiments,Observation and Logic,Calculus,Microscopy,B,Aristotle relied on what he could see and what made logical sense to him.
1,Ideas of Motion,Medium,Buridan suggested that objects keep moving unless stopped by what?,The Sun,Other objects or air resistance,Divine power,Their own weight,B,Buridan refined the idea that motion continues unless something external interferes.
1,Ideas of Motion,Hard,How did Buridan's method differ from Galileo's?,He used experiments,He used math synthesis,He used scholarly refinement,He used telescopes,C,Buridan worked by refining existing scholarly ideas rather than building new labs.
1,Ideas of Motion,Easy,Who is considered the pioneer of the Empirical Method in motion studies?,Aristotle,Philoponus,Galileo,Buridan,C,Galileo insisted on testing theories through actual physical experiments.
1,Ideas of Motion,Medium,Galileo used math and experiments to prove the existence of what?,Gravity,Inertia and Acceleration,Spacetime,Impetus,B,Galileo's work laid the foundation for understanding how things speed up.
1,Ideas of Motion,Hard,Which thinker combined experiments with math and observation for the first time?,Newton,Einstein,Galileo,Aristotle,C,This "triple threat" of methods made Galileo the father of modern science.
1,Ideas of Motion,Easy,Newton's main contribution was the synthesis of motion and what else?,Spacetime,Global Warming,Universal Gravity,Electricity,C,Newton showed that the same laws on Earth apply to the planets.
1,Ideas of Motion,Medium,What was the 'Great Synthesis' performed by Isaac Newton?,Combining Biology and Physics,Combining Motion and Gravity,Combining Logic and Art,Combining Light and Sound,B,He turned separate ideas into one mathematical system.
1,Ideas of Motion,Hard,What method allowed Newton to prove his laws were universal?,Scholarly Refinement,Mathematical Synthesis,Logical Criticism,Observation alone,B,He used math to bridge the gap between many different previous works.
1,Ideas of Motion,Easy,In Einstein's view motion is not absolute but is instead...?,Constant,Relative,Stationary,Magic,B,Einstein's theory of Relativity changed how we view moving objects.
1,Ideas of Motion,Medium,Einstein introduced the concept that motion happens within what?,A vacuum,Spacetime,A flat plane,Water,B,Spacetime is the 4D fabric where all motion and gravity occur.
1,Ideas of Motion,Hard,Einstein's method for studying motion relied on what?,Falling objects,Theoretical physics and proof,Ancient scrolls,Strict observation,B,Einstein used complex math and "thought experiments" to predict reality.
1,Ideas of Motion,Medium,If Aristotle were right what would happen to a thrown ball?,It would keep flying,It would fall instantly,It would speed up,It would orbit,B,Aristotle thought if you stop pushing the ball it should stop moving immediately.
1,Ideas of Motion,Easy,Which thinker moved from pure observation to 'Logical Criticism'?,Philoponus,Newton,Einstein,Aristotle,A,Philoponus marks the transition where people started questioning the Greeks.
1,Ideas of Motion,Hard,Whose work on 'objects moving unless stopped' most influenced Newton?,Einstein,Buridan,Aristotle,Philoponus,B,Buridan's scholarly work was a major step toward Newton's First Law.
1,Ideas of Motion,Medium,How did Galileo's method change the 'vibe' of physics?,It made it more poetic,It made it empirical and testable,It made it more religious,It made it simpler,B,Galileo proved that you can't just talk about physics; you have to test it.
1,Ideas of Motion,Easy,True or False: Newton worked alone without any prior influence.,True,False,, ,B,False. Newton synthesized the work of Galileo and others.
1,Ideas of Motion,Hard,Which thinker is responsible for the shift to 'Theoretical Physics'?,Galileo,Aristotle,Einstein,Buridan,C,Einstein's work was so advanced it was proven by math before it was seen in labs.
1,Ideas of Motion,Medium,What does 'Empirical Method' mean in Galileo's context?,Using your feelings,Using logic only,Using data from experiments,Using ancient maps,C,Empirical means it is based on what we can actually measure and observe.
1,Ideas of Motion,Easy,Who defined the Law of Inertia most clearly through experiments?,Aristotle,Galileo,Philoponus,Einstein,B,Galileo's inclined plane experiments proved how inertia works.
