3,ClassificationAndPropertiesOfWaves,Easy,What is the primary function of a wave as it propagates?,Transports matter over long distances,Transfers energy from one location to another,Creates new particles in a medium,Decreases the temperature of matter,B,A wave is defined as a disturbance in matter that transfers energy from one location to another.
3,ClassificationAndPropertiesOfWaves,Medium,Which type of wave requires a medium to travel through?,Electromagnetic waves,Microwaves,Mechanical waves,Radio waves,C,Waves that need a medium are known as mechanical waves while those that can travel without a medium are called electromagnetic waves.
3,ClassificationAndPropertiesOfWaves,Hard,If you are on the Moon which has no atmosphere why could you see a light but not hear a sound?,Light is mechanical and sound is electromagnetic,Light is electromagnetic and sound is mechanical,Both are mechanical waves,Both are electromagnetic waves,B,Light can be seen because electromagnetic waves do not need a medium whereas sound (mechanical) requires an atmosphere to travel.
3,ClassificationAndPropertiesOfWaves,Medium,In a transverse wave how do the particles of the medium move relative to the wave propagation?,Parallel,Perpendicular,In a circular motion,They do not move at all,B,In a transverse wave the particles of the medium move perpendicularly to the direction the wave is traveling.
3,ClassificationAndPropertiesOfWaves,Easy,What are the highest points in a transverse wave called?,Troughs,Rarefactions,Compressions,Crests,D,As illustrated in Figure 1 the highest points in a transverse wave are known as crests.
3,ClassificationAndPropertiesOfWaves,Medium,Which region in a longitudinal wave corresponds to particles being farthest apart?,Compression,Crest,Rarefaction,Trough,C,As depicted in Figure 2b expansion (or rarefaction) is where the particles of the medium are farthest apart.
3,ClassificationAndPropertiesOfWaves,Easy,What is the SI unit for frequency?,Meters,Seconds,Hertz,Newtons,C,The SI unit for frequency (f) is s^-1 or Hertz (Hz).
3,ClassificationAndPropertiesOfWaves,Medium,Which wave property is defined as the time it takes for one complete cycle to pass?,Frequency,Amplitude,Wavelength,Period,D,Period (T) is the time elapsed between two consecutive crests passing by the same point; the time it takes for one complete cycle.
3,ClassificationAndPropertiesOfWaves,Hard,If a wave has a frequency of 10 Hz what is its period?,0.1 seconds,1.0 seconds,10 seconds,100 seconds,A,The relationship is T = 1/f. Therefore 1 divided by 10 Hz equals 0.1 seconds.
3,ClassificationAndPropertiesOfWaves,Medium,How is wave speed (v) calculated using wavelength and frequency?,v = λ / f,v = f / λ,v = λf,v = λ + f,C,The wave speed can be expressed as v = λf as seen in Equation 2.
